Product ID,Title,Original Price,Discount Price,Discount Percentage,Brand,Category,Start Date,End Date,Description
https://www.karjistore.com/roberto-cavalli-paradiso-gift-set,Roberto Cavalli Paradiso Gift Set,680.00 AED,544.00 AED,20%,Roberto Cavalli,Gift Sets > Fragrance > Women,2025-08-10,2025-08-24,Complete set with EDP 75ml + Body Lotion 150ml + Travel Size 10ml
https://www.karjistore.com/tom-ford-luxury-collection-set,Tom Ford Luxury Collection Set,1250.00 AED,1000.00 AED,20%,Tom Ford,Gift Sets > Fragrance > Unisex,2025-08-10,2025-08-31,Premium collection with 3 signature fragrances in travel sizes
https://www.karjistore.com/chanel-coco-deluxe-gift-set,Chanel Coco Deluxe Gift Set,850.00 AED,680.00 AED,20%,Chanel,Gift Sets > Fragrance > Women,2025-08-10,2025-08-17,Luxury set with EDP 100ml + Powder Compact + Lipstick
https://www.karjistore.com/dior-sauvage-mens-collection,Dior Sauvage Men's Collection,620.00 AED,496.00 AED,20%,Dior,Gift Sets > Fragrance > Men,2025-08-10,2025-08-20,Complete grooming set with EDT 100ml + Shower Gel + Deodorant
https://www.karjistore.com/versace-eros-ultimate-set,Versace Eros Ultimate Set,520.00 AED,416.00 AED,20%,Versace,Gift Sets > Fragrance > Men,2025-08-10,2025-08-24,Perfect gift with EDT 100ml + After Shave Balm + Mini 5ml
https://www.karjistore.com/ysl-beauty-luxury-set,YSL Beauty Luxury Set,780.00 AED,624.00 AED,20%,Yves Saint Laurent,Gift Sets > Beauty > Women,2025-08-10,2025-08-31,Complete beauty collection with fragrance + makeup essentials
https://www.karjistore.com/armani-code-gentleman-set,Armani Code Gentleman Set,590.00 AED,472.00 AED,20%,Giorgio Armani,Gift Sets > Fragrance > Men,2025-08-10,2025-08-17,Sophisticated set with EDT 125ml + Body Wash + Travel Case
https://www.karjistore.com/bulgari-omnia-wedding-collection,Bulgari Omnia Wedding Collection,720.00 AED,576.00 AED,20%,Bulgari,Gift Sets > Fragrance > Women,2025-08-10,2025-08-24,Bridal collection with multiple fragrance sizes + Jewelry Box
https://www.karjistore.com/luxury-fragrance-discovery-set,Luxury Fragrance Discovery Set,450.00 AED,360.00 AED,20%,Multi-Brand,Gift Sets > Fragrance > Unisex,2025-08-10,2025-08-31,Curated selection of 8 premium fragrances in travel sizes
https://www.karjistore.com/premium-mens-grooming-kit,Premium Men's Grooming Kit,380.00 AED,304.00 AED,20%,Multi-Brand,Gift Sets > Grooming > Men,2025-08-10,2025-08-24,Complete grooming essentials with luxury brands
