Product ID,Title,Original Price,Discount Price,Discount Percentage,Brand,Category,Start Date,End Date,Description
https://www.karjistore.com/roberto-cavalli-paradiso-edp-75ml,Roberto Cavalli Paradiso EDP 75ml,525.00 AED,399.00 AED,24%,Roberto Cavalli,Fragrance > Perfumes > Women,2025-08-10,2025-08-24,Limited time offer on this Mediterranean-inspired fragrance with notes of citrus and jasmine
https://www.karjistore.com/roberto-cavalli-uomo-edt-100ml,Roberto Cavalli Uomo EDT 100ml,465.00 AED,349.00 AED,25%,Roberto Cavalli,Fragrance > Perfumes > Men,2025-08-10,2025-08-24,Sophisticated aromatic oriental woody fragrance - perfect for the modern gentleman
https://www.karjistore.com/tom-ford-ombre-leather-edp,Tom Ford Ombre Leather EDP,890.00 AED,712.00 AED,20%,Tom Ford,Fragrance > Perfumes > Unisex,2025-08-10,2025-08-31,Iconic leather scent with smoky black tea - summer special pricing
https://www.karjistore.com/chanel-coco-mademoiselle-edp-100ml,Chanel Coco Mademoiselle EDP 100ml,620.00 AED,496.00 AED,20%,Chanel,Fragrance > Perfumes > Women,2025-08-10,2025-08-17,Classic feminine fragrance with oriental floral notes - week-long flash sale
https://www.karjistore.com/dior-sauvage-edt-100ml,Dior Sauvage EDT 100ml,450.00 AED,337.50 AED,25%,Dior,Fragrance > Perfumes > Men,2025-08-10,2025-08-20,Fresh and raw fragrance inspired by landscapes - best seller on sale
https://www.karjistore.com/versace-eros-edt-100ml,Versace Eros EDT 100ml,380.00 AED,304.00 AED,20%,Versace,Fragrance > Perfumes > Men,2025-08-10,2025-08-24,Passionate and seductive fragrance with mint and vanilla - limited offer
https://www.karjistore.com/ysl-black-opium-edp-90ml,YSL Black Opium EDP 90ml,560.00 AED,420.00 AED,25%,Yves Saint Laurent,Fragrance > Perfumes > Women,2025-08-10,2025-08-31,Addictive coffee and vanilla fragrance - month-long promotion
https://www.karjistore.com/armani-code-edt-125ml,Armani Code EDT 125ml,420.00 AED,336.00 AED,20%,Giorgio Armani,Fragrance > Perfumes > Men,2025-08-10,2025-08-17,Sophisticated and mysterious scent with bergamot and olive blossom
https://www.karjistore.com/bulgari-omnia-crystalline-edt-65ml,Bulgari Omnia Crystalline EDT 65ml,320.00 AED,256.00 AED,20%,Bulgari,Fragrance > Perfumes > Women,2025-08-10,2025-08-24,Pure and delicate fragrance with bamboo and lotus flower
https://www.karjistore.com/hugo-boss-bottled-edt-100ml,Hugo Boss Bottled EDT 100ml,290.00 AED,232.00 AED,20%,Hugo Boss,Fragrance > Perfumes > Men,2025-08-10,2025-08-31,Fresh and energizing fragrance with apple and cinnamon notes
